title,genre,aired,episodes,members,popularity,ranked,score
Haikyuu!! Second Season,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 4, 2015 to Mar 27, 2016",25,489888,141,25,8.82
Shigatsu wa Kimi no Uso,"['Drama', 'Music', 'Romance', 'School', 'Shounen']","Oct 10, 2014 to Mar 20, 2015",22,995473,28,24,8.83
Made in Abyss,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13,581663,98,23,8.83
Fullmetal Alchemist: Brotherhood,"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64,1615084,4,1,9.23
Kizumonogatari III: Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",6-Jan-17,1,214621,502,22,8.83
Mob Psycho 100 II,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']","Jan 7, 2019 to Apr 1, 2019",13,442310,176,21,8.89
Sen to Chihiro no Kamikakushi,"['Adventure', 'Supernatural', 'Drama']",20-Jul-01,1,913212,40,20,8.9
Kimetsu no Yaiba,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26,575037,106,19,8.92
Owarimonogatari 2nd Season,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']","Aug 12, 2017 to Aug 13, 2017",7,189944,573,18,8.93
Code Geass: Hangyaku no Lelouch R2,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']","Apr 6, 2008 to Sep 28, 2008",25,992196,27,17,8.93
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']","Oct 8, 2016 to Dec 10, 2016",10,395375,223,16,8.94
Gintama.,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Jan 9, 2017 to Mar 27, 2017",12,139309,800,15,8.94
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",6-Jul-13,1,135232,833,14,8.95
Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Apr 4, 2006 to Mar 25, 2010",201,579150,97,13,8.97
Clannad: After Story,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance']","Oct 3, 2008 to Mar 27, 2009",24,740101,64,12,8.97
Gintama': Enchousen,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']","Oct 4, 2012 to Mar 28, 2013",13,166446,667,11,8.98
One Punch Man,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural', 'Seinen']","Oct 5, 2015 to Dec 21, 2015",12,1475219,5,50,8.68
Kaguya-hime no Monogatari,"['Fantasy', 'Historical']",23-Nov-13,1,99563,1106,250,8.28
Koukaku Kidoutai 2.0,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",12-Jul-08,1,72331,1457,500,8.06
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"['Comedy', 'Josei', 'Music', 'Romance']",7-Apr-10,1,33038,2428,750,7.88
Saraiya Goyou,"['Mystery', 'Historical', 'Drama', 'Samurai', 'Seinen']","Apr 16, 2010 to Jul 2, 2010",12,61146,1650,800,7.86
Saint Seiya: Meiou Hades Meikai-hen,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']","Dec 17, 2005 to Feb 6, 2007",12,33453,2409,799,7.86
Noragami OVA,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Feb 17, 2014 to Jul 17, 2014",2,200244,539,798,7.86
Lupin III: Part II,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Oct 3, 1977 to Oct 6, 1980",155,19405,3237,796,7.86
Kobayashi-san Chi no Maid Dragon: Valentine-Soshite Onsen! - Amari Kitai Shinaide Kudasai,"['Slice of Life', 'Comedy', 'Fantasy']",20-Sep-17,1,87716,1238,794,7.86
Kuroko no Basket 2nd Season NG-shuu,"['Comedy', 'Sports']","Jan 29, 2014 to Sep 24, 2014",9,38046,2263,795,7.86
K-On!: Live House!,"['Comedy', 'Music', 'School', 'Slice of Life']",19-Jan-10,1,102122,1082,793,7.86
K-On!,"['Slice of Life', 'Comedy', 'Music', 'School']","Apr 3, 2009 to Jun 26, 2009",13,610222,90,792,7.86
InuYasha Movie 3: Tenka Hadou no Ken,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",20-Dec-03,1,68407,1527,791,7.86
Hidamari Sketch x ☆☆☆ Specials,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Oct 23, 2010 to Oct 30, 2010",2,11600,4073,790,7.86
Haikyuu!! Movie 2: Shousha to Haisha,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",18-Sep-15,1,27734,2698,789,7.86
Gochuumon wa Usagi Desu ka??: Dear My Sister,"['Slice of Life', 'Comedy']",11-Nov-17,1,20779,3141,788,7.86
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",27-Sep-19,4,11817,4041,787,7.86
Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']","Sep 24, 2014 to Feb 25, 2015",6,87789,1233,786,7.86
Gate: Jieitai Kanochi nite Kaku Tatakaeri 2nd Season,"['Action', 'Military', 'Adventure', 'Fantasy']","Jan 9, 2016 to Mar 26, 2016",12,328860,297,785,7.86
Doukyonin wa Hiza Tokidoki Atama no Ue.,"['Slice of Life', 'Comedy']","Jan 9, 2019 to Mar 27, 2019",12,89612,1216,784,7.86
Digimon Adventure,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Mar 7, 1999 to Mar 26, 2000",54,274830,356,783,7.86
Byousoku 5 Centimeter,"['Slice of Life', 'Drama', 'Romance']",3-Mar-07,3,554071,108,781,7.86
Detective Conan OVA 10: Kid in Trap Island,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",14-Apr-10,1,12337,3969,782,7.86
Bungou Stray Dogs: Dead Apple,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",3-Mar-18,1,73839,1448,780,7.86
Asagao to Kase-san.,"['Romance', 'School', 'Shoujo Ai']",9-Jun-18,1,33444,2426,779,7.86
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"['Action', 'Comedy', 'School', 'Shounen']","Mar 11, 2016 to May 20, 2016",8,33163,2435,778,7.86
Yaoguai Mingdan 2nd Season,"['Action', 'Comedy', 'Romance', 'Fantasy']","Aug 2, 2017 to Dec 29, 2017",21,5238,5659,777,7.87
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Feb 25, 2017 to Mar 1, 2019",26,14326,3747,776,7.87
Transformers the Movie,"['Action', 'Mecha']",9-Aug-86,1,11245,4133,775,7.87
Toshokan Sensou: Kakumei no Tsubasa,"['Action', 'Comedy', 'Military', 'Romance']",16-Jun-12,1,16716,3495,774,7.87
Shokugeki no Souma: Shin no Sara,"['Ecchi', 'School', 'Shounen']","Oct 12, 2019 to Dec 28, 2019",12,162213,683,773,7.87
Paradise Kiss,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Oct 14, 2005 to Dec 30, 2005",12,122787,916,772,7.87
Manga de Wakaru! Fate/Grand Order,['Comedy'],31-Dec-18,1,7545,4889,770,7.87
Lucky☆Star: Original na Visual to Animation,"['Comedy', 'Parody', 'School', 'Slice of Life']",26-Sep-08,1,105307,1056,769,7.87
Last Exile,"['Action', 'Sci-Fi', 'Adventure']","Apr 8, 2003 to Sep 30, 2003",26,137273,810,768,7.87
Koukaku Kidoutai 2: Innocence,"['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']",6-Mar-04,1,121133,929,767,7.87
Heartcatch Precure!,"['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']","Feb 7, 2010 to Jan 30, 2011",49,20414,3162,763,7.87
Hidamari Sketch x 365,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jul 4, 2008 to Sep 26, 2008",13,24921,2855,764,7.87
Ginga Tetsudou 999,"['Sci-Fi', 'Adventure', 'Space', 'Drama']","Sep 14, 1978 to Apr 9, 1981",113,21402,3080,761,7.87
Gundam Build Fighters,"['Action', 'Sci-Fi', 'Mecha']","Oct 7, 2013 to Mar 31, 2014",25,50399,1890,762,7.87
Ghost Hunt,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']","Oct 4, 2006 to Mar 28, 2007",25,172769,630,760,7.87
